Episode,Length,City,State
The Head of the Serpent,166,Lafayette,Indiana
A Man Named Hillbilly,162,Fruitville,Florida
No Good Deed,149,Golden Valley,Arizona
A Ted Bundy on the Rise,158,Needham,Massachusetts
"Hello, I'm My Sister",152,Anniston,Alabama
Possessed by Stupidity,144,Brownstown Township,Michigan
A Mystery Deepens ,151,Gormania,West Virginia
A Very Murderous Christmas,151,Barnesville,Georgia
Love Thy Neighbor,135,Hampton,New Hampshire
What EXACTLY Happened Here?,154,Clinton,North Carolina
The Disappearing Cheerleader,161,Hanover Township,New Jersey
Why Charles Manson Wasn't in Friends,149,Moses Lake,Washington
Mr. Hot Tub,148,Ross Township,Pennsylvania
"Two Dead, One Missing",154,Houston,Delaware
You Want One of Her Bones,152,Whiteside,Tennessee
A Secret in Every Hole,148,Hartland,Maine
Frozen Blood Puddles and Banana Liqueur,153,Ely,Minnesota
Horses of a Feather,149,Dean,Texas
Building a Murder Fence,173,Fishkill,New York
"Shot, Stabbed, Beaten, Cut, and Chained",155,Chickasha,Oklahoma
The Creepy Corpse Snuggler,156,Lucedale,Mississippi
The Pyramid Killer,160,Imlay,Nevada
A Missing Model and Doggy DNA,169,Mt Zion,Illinois
"Brazen Stupidity, or Criminal Insanity?",150,Dry Prong,Louisiana
Bone Fragments and Trashed Trailers,151,Stafford,Connecticut
If the Ring Doesn't Fit?,146,Elizabethtown,Kentucky
"Hitchhikers, Drifters, and Necrophiliacs",161,Oakley,Kansas
Murder Shoes and Fabulation,157,Grafton,Wisconsin
"Disturbing, Depraved, and Disgusting",147,Coventry Township,Ohip
The Devil Come to Earth,167,Apache Junction,Arizona
The Baby Faced Serial Killer,172,Woonsocket,Rhode Island
Satan's Carnival,169,Auburn,Indiana
Intensely Intensifying Bloodbath,151,Morgantown,West Virginia
Murder at Scary Bridge,148,Modoc,South Carolina
Chief Horny the Ladykiller,171,Tea,South Dakota
The Miracle Murder,167,Tijeras,New Mexico
A Classy Trashy Murder Mystery,161,Easton,Maryland
A Strange Way to Toture,159,Laurel,Delaware
A Messy Web of Death,164,Hastings,Michigan
"Sickness, Solvent, and Snuff Films",163,Borrego Springs,California
Night Stalker Training Program,157,Shenandoah,Iowa
"Lust, Blood, and Trash",151,Bristol,Florida
The Bear King Kills,160,Hillsdale ,New York
"The Devil, the Darkness, and the Cheerleader",158,Malvern,Arkansas
The Bathtub Strangler,164,Clarkston,Georgia
The Threesome From Hell,161,Gresham,Oregon
The Murdered Murderer Murders,148,Rutland,Vermont
First Family of Serial Murder,167,Carr,Colorado
How Not to Kill a Sugar Daddy,166,Climax Springs,Missouri
Born to Die,173,Marion,Virginia
I See Dead People,182,Indialantic,Florida
New Year's Evil,168,Skamania,Washington
A Halloween Haunted House Killing,178,Dimmitt,Texas
The Alabama Zodiac,170,Jacksonville,Alabama
The Self Pitying Serial Killer,181,Moose Lake,Minnesota
Shocking Backwoods Brutality,172,Dingess,West Virginia
The Nightmare House,165,Fair Lawn,New Jersey
A Skull in the Wood Stove,163,Blackfoot,Idaho
Bloodthirsty Murder and Stupid People,165,Daugherty Township,Pennsylvania
Serial Killer Happy Meal,164,Plymouth,New Hampshire
Sleigh Bells and Slaughter,164,Minden,Louisiana
The Sickest Desire,161,Cedar City,Utah
Bloody Jealousy,176,Woodstock,Illinois
Mayberry: Chopped and Posed,175,Mount Airy,North Carolina
A Bizarre Psychopath and His Porn,161,Raymond,Wisconsin
A Grossly Insane Tale of Death,166,Marion,Indiana
Scrap Metal and Sexual Urges,163,Bantam,Connecticut
"Disturbing, Depraved, and Disgusting",167,Kihei,Hawaii
Butcher Saws and Wine Coolers,167,Dover,Delaware
Blood Among Friends,166,Northport,New York
Dirty Desires in the Backwoods,170,Tellico Plains,Tennessee
Threesomes in the Heartland,168,McCook,Nebraska
A Bloody Desert Trail,165,Wittmann,Arizona
A Diabolical Death Parade,165,Machiasport,Maine
Bad Company,163,Magnolia,Arkansas
The Murder Parrot Speaks,167,Sand Lake,Michigan
The Devil Whispers in my Ear,155,North Adams,Massachusetts
Video Games or Hitler,166,Montville Township,Ohio
The Bad News Killers,178,Okarche,Oklahoma
"Sex, Family, and Wire Handcuffs",169,Clarence,Iowa
The Soft Serial Killer,170,St. Augustine,Florida
When Stupid People Kill,180,Raccoon,Kentucky
Ice Picks and Impersonations,178,Roswell,New Mexico
A Most Evil Couple,175,Hattiesburg,Mississippi
The Sex Crazed Killer Accountant,179,Westminster,Maryland
Missing Heads and Water Beds,171,Wellington,Kansas
"A Liar, a Killer, and an Idiot",176,Cottonwood,California
A Dumb Ted Bundy,188,Conway,South Carolina
The Minister's Wife is Filthy,176,Trinidad,Colorado
The Sugar Daddy Death Caper,179,Woodbridge,Virginia
Bits of Flesh and Mysteries Solved,175,Addy,Washington
Too Gruesome to Solve,189,Columbus,Wisconsin
For Love of my Cousin,167,Beckley,West Virginia
The Zombie Apocalypse has Begun,168,Coeur d'Alene,Idaho
The Killing of a Bad Man,178,Hooksett,New Hampshire
The Bloodbath Brothers,173,Pulaski,Tennessee
"Lust, Death, Insanity and a Potato",65,Bagdad,Arizona
